status,sku,name,kb_key,thickness_mm,sheet_price,kb_price,delta,delta_pct,severity,message
missing_in_kb,IF60 - IFSL60,IsoFrig - Sala Limpia 60 mm,ISOFRIG_PIR,60,57.83,,,,medium,Not found in KB: ISOFRIG_PIR @ 60mm
missing_in_kb,IF80 - IFSL80,IsoFrig - Sala Limpia 80 mm,ISOFRIG_PIR,80,63.8,,,,medium,Not found in KB: ISOFRIG_PIR @ 80mm
missing_in_kb,IF100 - IFSL100,IsoFrig - Sala Limpia 100 mm,ISOFRIG_PIR,100,70.77,,,,medium,Not found in KB: ISOFRIG_PIR @ 100mm
missing_in_kb,IF120 - IFSL120,IsoFrig - Sala Limpia 120 mm,ISOFRIG_PIR,120,84.59,,,,medium,Not found in KB: ISOFRIG_PIR @ 120mm
missing_in_kb,IF150 - IFSL150,IsoFrig - Sala Limpia 150 mm,ISOFRIG_PIR,150,85.85,,,,medium,Not found in KB: ISOFRIG_PIR @ 150mm
missing_in_kb,IF180 - IFSL180,IsoFrig - Sala limpia 180 mm,ISOFRIG_PIR,180,105.33,,,,medium,Not found in KB: ISOFRIG_PIR @ 180mm
missing_in_kb,ISD50EPS,ISOPANEL EPS 50 mm,ISODEC_EPS,50,41.88,,,,medium,Not found in KB: ISODEC_EPS @ 50mm
missing_in_sheet,,,ISODEC_PIR,120,,62.0,,,info,Present in KB but missing from sheet: ISODEC_PIR @ 120mm
missing_in_sheet,,,ISOPANEL_EPS,50,,41.88,,,info,Present in KB but missing from sheet: ISOPANEL_EPS @ 50mm
missing_in_sheet,,,ISOPANEL_EPS,100,,46.0,,,info,Present in KB but missing from sheet: ISOPANEL_EPS @ 100mm
missing_in_sheet,,,ISOPANEL_EPS,150,,51.5,,,info,Present in KB but missing from sheet: ISOPANEL_EPS @ 150mm
missing_in_sheet,,,ISOPANEL_EPS,200,,57.0,,,info,Present in KB but missing from sheet: ISOPANEL_EPS @ 200mm
